"country","iso_code","date","daily_vaccinations_per_million","Oxford/AstraZeneca","Pfizer/BioNTech","Sinopharm/Beijing","Sinovac","SputnikV","Johnson&Johnson","Moderna","Covaxin","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","CanSino","EpiVacCorona","RBD-Dimer","continent"
"Afghanistan","AFG","2021-04-07",77,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-08",95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-09",114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-10",132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-11",150,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-12",169,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-13",187,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-14",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-15",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-16",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-17",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-18",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-19",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-20",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-21",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-22",206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-23",227,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-24",249,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-25",271,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-26",292,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-27",314,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-28",336,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-29",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-04-30",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-01",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-02",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-03",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-04",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-05",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-06",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-07",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-08",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-09",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-10",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-11",358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-12",324,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-13",291,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-14",257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-15",224,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-16",191,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-17",157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-18",124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-19",124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-20",124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-21",129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-22",135,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-23",141,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Afghanistan","AFG","2021-05-24",146,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asia"
"Albania","ALB","2021-01-10",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-11",22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-12",22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-13",22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-14",23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-15",22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-16",22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-17",20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-18",19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-19",18,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-20",16,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-21",14,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-22",12,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-23",9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-24",7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-25",5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-26",3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-27",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-28",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-29",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-30",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-01-31",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-01",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-02",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-03",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-04",8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-05",12,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-06",16,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-07",21,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-08",25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-09",28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-10",28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-11",27,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-12",27,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-13",26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-14",26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-15",25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-16",25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-17",25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-18",88,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-19",141,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-20",179,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-21",218,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-22",257,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-23",310,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-24",362,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-25",352,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-26",347,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-27",357,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-02-28",366,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-01",376,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-02",357,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-03",337,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-04",322,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Albania","ALB","2021-03-05",312,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
